T1: 1(0.65), 3(0.74), 5(0.83), 7(0.6), 9(0.61), 11(0.93), 13(0.76), 15(0.74), 17(0.8), 19(0.5), 21(0.58), 23(0.58), 25(0.86), 27(0.75), 29(0.85), 31(0.53), 34(0.68), 36(0.7), 38(0.62), 40(0.86), 42(0.65), 44(0.58), 46(0.67), 48(0.74), 50(0.66), 52(0.67), 54(0.89), 56(0.51), 58(0.86), 60(0.88), 62(0.93), 64(0.55), 66(0.78), 68(0.74), 70(0.74), 72(0.91), 74(0.69)
T1598: 2(0.57), 3(0.72), 5(0.67), 7(0.73), 9(0.7), 11(0.97), 14(0.81), 15(0.53), 17(0.5), 19(0.53), 22(0.78), 23(0.73), 26(0.92), 28(0.73), 29(0.72), 31(0.52), 34(0.97), 36(0.76), 38(0.92), 40(0.7), 42(0.74), 44(0.62), 46(0.88), 48(0.57), 50(0.79), 52(0.52), 54(0.93), 56(0.61), 58(0.93), 60(0.81), 62(0.78), 64(0.54), 66(0.69), 68(0.79), 70(0.51), 72(0.58), 75(0.78)
T1599: 2(0.73), 3(0.51), 5(0.91), 7(0.62), 9(0.69), 11(0.86), 13(0.52), 15(0.7), 17(0.96), 19(0.66), 22(0.51), 23(0.96), 26(0.93), 28(0.99), 29(0.7), 31(0.71), 34(0.66), 36(0.58), 38(0.57), 40(0.82), 42(0.91), 44(0.98), 46(0.93), 48(0.51), 50(0.79), 52(0.67), 55(0.67), 56(0.75), 58(0.86), 60(0.86), 62(0.61), 64(0.67), 66(0.9), 68(0.79), 70(0.8), 72(0.54), 75(1.0)
T1600: 2(0.78), 3(0.85), 5(0.96), 7(0.56), 9(0.73), 11(0.68), 14(0.57), 15(0.84), 17(0.9), 19(0.6), 22(0.55), 23(0.73), 26(0.67), 28(0.51), 29(0.98), 31(0.63), 34(0.7), 36(0.52), 38(0.82), 40(0.97), 42(0.79), 44(0.94), 46(0.65), 48(0.62), 50(0.53), 52(0.65), 55(0.83), 56(0.83), 58(0.6), 60(0.62), 62(0.89), 64(0.7), 66(0.61), 68(0.58), 70(0.87), 72(0.53), 75(0.56)
T1601: 1(0.53), 4(0.97), 5(0.87), 7(0.96), 9(0.95), 11(0.96), 13(0.9), 15(0.68), 17(0.56), 19(0.82), 21(0.9), 24(0.67), 25(0.96), 28(0.9), 29(0.61), 33(0.58), 34(0.86), 36(0.65), 38(0.88), 40(0.85), 42(0.68), 44(0.54), 46(0.73), 48(0.69), 51(0.69), 52(0.63), 54(0.7), 56(0.83), 58(0.77), 60(0.63), 62(0.55), 64(0.61), 66(0.91), 68(0.7), 70(0.94), 73(0.74), 74(0.55)
T1602: 1(0.55), 4(0.89), 5(0.87), 7(0.84), 9(0.66), 12(0.54), 13(0.76), 15(0.88), 17(0.78), 20(0.5), 21(0.88), 24(0.67), 25(0.64), 28(0.9), 29(0.97), 33(0.51), 34(0.86), 36(0.75), 38(0.75), 40(0.87), 42(0.71), 44(0.97), 47(0.84), 48(0.99), 51(0.64), 52(0.72), 54(0.63), 56(0.74), 58(0.98), 60(0.91), 62(0.92), 64(0.7), 66(0.83), 68(0.72), 70(0.91), 73(0.7), 74(0.7)
T1603: 1(0.96), 4(0.66), 6(0.85), 7(0.72), 9(0.72), 11(0.99), 13(0.59), 15(0.53), 17(0.9), 19(0.7), 21(0.62), 24(0.63), 25(0.77), 28(0.68), 29(0.96), 33(0.64), 34(0.62), 36(0.59), 38(0.6), 40(0.87), 42(0.8), 44(0.72), 46(0.91), 48(0.64), 50(0.66), 52(0.72), 54(0.53), 56(0.74), 58(0.6), 60(0.79), 62(0.61), 64(0.73), 66(0.71), 68(0.7), 71(0.68), 73(0.59), 74(0.96)
T1604: 1(0.74), 4(0.77), 5(0.73), 7(0.7), 10(0.59), 12(0.58), 13(0.6), 15(0.76), 17(0.52), 19(0.61), 21(0.83), 24(0.98), 25(0.95), 28(0.78), 29(0.71), 33(0.67), 34(0.5), 36(0.73), 38(0.73), 40(0.74), 42(0.51), 44(0.57), 46(0.92), 48(0.8), 50(0.74), 52(0.67), 54(1.0), 56(0.76), 58(0.64), 60(0.52), 62(0.82), 64(0.52), 66(0.74), 68(0.84), 71(0.83), 73(0.94), 74(0.51)
T1605: 1(0.62), 4(0.73), 5(0.84), 7(0.98), 9(0.93), 12(0.97), 13(0.96), 15(0.59), 17(0.58), 20(0.56), 21(0.82), 24(0.96), 25(0.58), 28(0.68), 29(0.72), 33(0.51), 34(0.83), 36(0.51), 38(0.78), 40(0.86), 42(0.79), 44(0.67), 47(0.78), 48(0.68), 50(0.53), 52(0.58), 54(0.92), 56(0.82), 58(0.61), 60(0.81), 62(0.95), 64(0.95), 66(0.86), 68(0.59), 70(0.86), 73(0.59), 74(0.68)
T1606: 1(0.62), 4(0.86), 5(0.53), 7(0.67), 9(0.51), 12(0.58), 13(0.84), 15(0.61), 17(0.62), 20(0.61), 21(0.59), 24(0.57), 25(0.63), 28(0.87), 29(0.79), 33(0.93), 34(0.95), 36(0.62), 38(0.58), 40(0.6), 42(0.98), 44(0.6), 47(0.94), 48(0.81), 50(0.96), 52(0.8), 54(0.92), 56(0.55), 58(0.87), 60(0.72), 62(0.95), 64(0.61), 66(0.81), 68(0.5), 71(0.82), 73(0.7), 74(0.66)
T1607: 1(0.89), 4(0.76), 5(0.64), 7(0.85), 9(0.89), 11(0.75), 13(0.69), 15(0.95), 17(0.61), 19(0.61), 21(0.99), 24(0.81), 25(0.94), 28(0.88), 29(0.85), 33(0.94), 34(0.83), 36(0.89), 38(0.59), 40(0.84), 42(0.84), 44(0.92), 46(0.61), 48(0.52), 51(0.69), 52(0.71), 54(0.93), 56(0.89), 58(0.78), 60(0.83), 63(0.72), 64(0.52), 66(0.68), 68(0.85), 70(0.64), 72(0.9), 74(0.73)
T1608: 1(0.68), 4(0.73), 6(0.91), 7(0.67), 9(0.76), 11(0.87), 13(0.81), 15(0.86), 17(0.78), 19(0.59), 21(0.7), 24(0.64), 25(0.99), 28(1.0), 29(0.5), 31(1.0), 34(0.65), 36(0.61), 38(0.56), 40(0.98), 42(0.53), 44(0.86), 46(0.91), 48(0.53), 50(0.7), 52(0.83), 54(0.58), 56(0.99), 58(0.61), 60(0.81), 62(0.73), 64(0.8), 66(0.99), 68(0.97), 71(0.56), 73(0.95), 74(0.67)
T1609: 1(0.57), 4(0.61), 5(0.86), 7(0.6), 10(0.5), 12(0.93), 13(0.94), 15(0.51), 17(0.72), 19(0.64), 21(0.66), 24(0.7), 25(0.99), 28(0.93), 29(0.87), 31(0.79), 34(0.87), 36(0.66), 38(0.85), 40(0.84), 42(0.91), 44(0.99), 46(0.55), 48(0.8), 50(0.89), 52(0.54), 54(0.68), 56(0.52), 58(0.74), 60(0.51), 62(0.77), 64(0.98), 66(0.97), 68(0.57), 71(0.71), 73(0.88), 74(0.96)
T1610: 1(0.96), 4(0.78), 5(0.63), 7(0.86), 9(0.56), 12(0.61), 13(0.5), 15(0.92), 17(0.58), 20(0.94), 21(0.83), 24(0.51), 25(0.86), 28(0.69), 29(0.63), 31(0.91), 34(0.87), 36(0.67), 38(0.57), 40(0.93), 42(0.7), 44(0.93), 47(0.77), 48(0.75), 50(0.55), 52(0.7), 54(0.84), 56(0.76), 58(0.95), 60(0.56), 62(0.68), 64(0.89), 66(0.68), 68(0.66), 70(0.58), 73(0.83), 74(0.63)
T1611: 1(0.74), 4(0.82), 5(0.66), 7(0.53), 9(0.98), 12(0.88), 13(0.82), 15(0.9), 17(0.98), 20(0.73), 21(0.87), 24(0.74), 25(0.56), 28(0.56), 29(0.87), 31(0.89), 34(0.77), 36(0.55), 38(0.61), 40(0.81), 42(0.52), 44(0.94), 47(0.9), 48(0.77), 50(0.68), 52(0.87), 54(0.85), 56(0.99), 58(0.55), 60(0.92), 62(0.96), 64(0.95), 66(0.69), 68(0.89), 71(0.71), 73(0.74), 74(1.0)
T1612: 1(0.58), 4(1.0), 6(0.82), 7(0.91), 9(0.98), 11(0.51), 13(0.54), 15(0.94), 17(0.8), 19(0.59), 21(0.69), 24(0.92), 25(0.61), 28(0.99), 29(0.62), 33(0.75), 34(0.56), 36(0.82), 39(0.82), 40(0.78), 42(0.62), 44(0.65), 46(0.95), 48(0.97), 51(0.85), 52(0.64), 54(0.61), 56(0.82), 58(0.69), 60(0.96), 62(0.92), 64(0.86), 66(0.66), 68(0.53), 71(0.79), 73(0.83), 74(0.95)
T1613: 1(0.95), 4(0.88), 5(0.71), 7(0.58), 10(0.68), 12(0.52), 13(0.97), 15(0.99), 17(0.81), 19(1.0), 21(0.9), 24(0.79), 25(0.67), 28(0.72), 29(0.98), 33(0.58), 34(0.66), 36(0.51), 39(0.72), 40(0.77), 42(0.61), 44(0.53), 46(0.65), 48(0.84), 51(0.97), 52(0.64), 54(0.54), 56(0.69), 58(0.55), 60(0.81), 62(0.78), 64(0.61), 66(0.55), 68(0.78), 71(0.68), 73(0.55), 74(0.79)
T1614: 1(0.97), 4(0.5), 5(0.5), 7(0.69), 9(0.69), 12(0.78), 13(0.92), 15(0.7), 17(0.68), 20(0.91), 21(0.51), 24(0.74), 25(0.89), 28(0.77), 29(0.9), 33(0.94), 34(0.53), 36(0.97), 39(0.59), 40(0.51), 42(0.9), 44(0.54), 47(0.51), 48(0.82), 51(0.51), 52(0.63), 54(0.66), 56(0.9), 58(0.64), 60(0.57), 62(0.91), 64(0.62), 66(0.95), 68(0.75), 71(0.78), 73(0.89), 74(0.9)
T1615: 1(0.94), 4(0.85), 6(0.81), 7(0.81), 9(0.9), 11(0.75), 13(0.73), 15(0.54), 17(0.71), 19(0.98), 21(0.5), 24(0.91), 25(0.64), 28(0.5), 29(0.54), 33(0.94), 34(0.86), 36(0.74), 39(0.77), 40(1.0), 42(0.91), 44(0.89), 46(0.89), 48(0.76), 50(0.5), 52(0.7), 54(0.56), 56(0.88), 58(0.89), 60(0.98), 62(0.99), 64(0.66), 66(0.75), 68(0.72), 71(0.65), 73(0.64), 74(0.85)
T1616: 1(0.59), 3(0.64), 5(0.81), 7(0.85), 9(0.71), 12(0.72), 13(0.75), 16(0.92), 18(0.68), 20(0.92), 21(0.67), 23(0.66), 25(0.98), 28(0.74), 29(0.99), 31(0.63), 34(0.81), 36(0.97), 38(0.57), 40(0.67), 42(0.76), 44(0.89), 47(0.95), 48(0.52), 51(0.63), 52(0.62), 54(0.73), 56(0.59), 58(0.63), 60(0.94), 62(0.71), 64(0.69), 66(1.0), 68(0.94), 70(0.63), 72(0.99), 74(0.71)
T1617: 1(0.84), 4(0.75), 5(0.97), 7(0.68), 9(0.77), 12(0.63), 13(0.52), 16(0.53), 18(0.81), 20(0.91), 21(0.88), 24(0.73), 25(0.98), 28(0.88), 29(0.65), 33(0.76), 34(0.65), 36(0.64), 38(0.66), 40(0.58), 42(0.84), 44(0.73), 46(0.7), 48(0.96), 50(0.85), 52(0.79), 54(0.94), 56(0.75), 58(0.95), 60(0.94), 62(0.71), 64(0.64), 66(0.84), 68(0.8), 70(0.5), 72(0.53), 74(0.85)
T1618: 1(0.68), 4(0.81), 5(0.84), 7(0.72), 9(0.7), 11(0.94), 13(0.63), 16(0.62), 18(0.85), 20(0.83), 21(0.95), 24(0.65), 25(0.74), 28(0.99), 29(0.56), 31(0.66), 34(0.83), 36(0.62), 38(0.85), 40(0.5), 42(0.73), 44(0.96), 46(0.87), 48(0.89), 51(0.63), 52(0.94), 54(0.51), 56(0.51), 58(0.53), 60(0.98), 62(0.85), 64(0.68), 66(0.78), 68(0.72), 70(0.54), 72(1.0), 74(0.74)
T1619: 1(0.59), 3(0.56), 5(0.53), 7(0.54), 9(0.91), 11(0.9), 13(0.58), 15(0.58), 17(0.62), 19(0.9), 21(0.64), 24(0.61), 25(0.73), 28(0.83), 29(0.61), 31(0.93), 34(0.78), 37(0.55), 38(0.54), 40(0.7), 42(0.98), 44(0.96), 46(0.61), 49(0.65), 51(0.53), 52(0.64), 54(0.7), 56(0.84), 58(0.92), 60(0.57), 62(0.65), 64(0.87), 66(0.98), 68(0.66), 70(0.57), 72(0.55), 74(0.62)
T1620: 1(0.98), 3(0.74), 5(0.83), 7(0.57), 9(0.86), 11(0.68), 13(0.98), 15(0.5), 17(0.96), 20(0.8), 21(0.99), 24(0.56), 25(0.82), 28(0.52), 29(0.97), 31(0.78), 34(0.86), 37(0.69), 38(0.78), 40(0.92), 42(0.65), 44(0.6), 47(0.82), 49(0.76), 50(1.0), 52(1.0), 54(0.59), 56(0.67), 58(0.87), 60(0.61), 62(0.89), 64(0.98), 66(0.94), 68(0.89), 70(0.94), 72(0.76), 74(0.58)
T1621: 1(0.86), 3(0.82), 5(0.8), 7(0.77), 9(0.95), 12(0.86), 14(0.7), 16(0.74), 17(0.69), 20(0.98), 21(0.78), 24(0.85), 25(0.98), 28(0.99), 29(0.68), 33(0.93), 34(0.74), 36(0.79), 38(0.71), 40(0.89), 42(0.61), 44(0.8), 47(0.8), 48(0.72), 50(0.53), 52(0.86), 54(0.72), 56(0.53), 58(0.77), 60(0.74), 62(0.76), 64(0.66), 66(0.99), 68(0.63), 70(0.82), 72(0.65), 74(0.73)
T1622: 1(0.75), 4(0.5), 5(0.76), 8(0.74), 9(0.93), 11(0.92), 14(0.66), 15(0.5), 17(0.89), 19(0.86), 21(0.93), 24(0.77), 25(0.8), 28(0.86), 29(0.86), 33(0.92), 34(0.76), 36(0.84), 38(0.74), 40(0.81), 42(0.63), 44(0.85), 46(0.89), 48(0.69), 51(0.61), 52(0.56), 54(0.85), 56(0.7), 58(0.93), 60(0.69), 62(0.97), 64(0.77), 66(0.59), 68(0.59), 71(0.76), 72(0.75), 74(0.87)
T1623: 1(0.69), 4(0.93), 5(0.67), 7(0.96), 10(0.88), 11(0.79), 14(0.75), 15(0.68), 17(0.53), 19(0.75), 21(0.92), 24(0.6), 25(0.52), 28(0.5), 29(0.76), 33(0.9), 34(0.8), 36(0.94), 38(0.77), 40(0.79), 42(0.54), 44(0.91), 46(0.72), 48(0.67), 51(0.64), 52(0.84), 54(0.87), 56(0.65), 58(0.8), 60(0.57), 62(0.59), 64(0.87), 66(0.9), 68(0.76), 71(0.66), 72(0.84), 74(0.57)
T1624: 1(0.74), 4(0.53), 5(0.65), 7(0.57), 9(0.87), 11(1.0), 14(0.99), 16(0.84), 17(0.82), 19(0.88), 21(0.74), 24(0.73), 25(0.97), 28(0.84), 29(0.87), 33(0.98), 34(0.53), 36(0.73), 38(0.84), 40(0.86), 42(0.88), 44(0.96), 46(0.7), 48(0.83), 51(0.78), 52(0.75), 54(0.95), 56(0.53), 58(0.79), 60(0.8), 62(0.95), 64(0.73), 66(0.58), 68(0.66), 70(0.93), 72(0.74), 74(0.91)
T1625: 1(0.86), 4(0.96), 5(0.73), 8(0.52), 9(0.79), 12(0.98), 14(0.94), 16(0.79), 17(0.85), 19(0.83), 21(0.77), 24(0.91), 25(0.9), 28(0.7), 29(0.91), 33(0.76), 34(0.6), 36(0.97), 38(0.92), 40(0.56), 42(0.89), 44(0.54), 46(0.72), 48(0.97), 51(0.62), 52(1.0), 54(0.92), 56(0.86), 58(0.94), 60(0.99), 62(0.7), 64(0.5), 66(0.68), 68(0.76), 71(0.81), 72(0.87), 74(0.88)
T1626: 1(0.78), 4(0.92), 5(0.59), 7(0.59), 9(0.73), 12(0.75), 14(0.51), 15(0.5), 17(0.57), 20(0.84), 21(0.73), 24(0.61), 25(0.52), 28(0.67), 29(0.69), 33(0.54), 34(0.58), 36(0.85), 38(0.95), 40(0.53), 42(0.85), 44(0.83), 47(0.63), 48(0.67), 51(0.99), 52(0.65), 54(0.86), 56(0.75), 58(0.93), 60(0.83), 62(0.64), 64(1.0), 66(0.82), 68(0.5), 70(0.86), 72(0.83), 74(0.55)
T1627: 1(0.57), 4(0.83), 5(0.66), 7(0.82), 9(0.84), 12(0.89), 14(0.83), 16(0.92), 17(0.59), 20(0.59), 21(0.85), 24(0.8), 25(0.78), 28(0.56), 29(0.66), 33(0.85), 34(0.77), 36(0.82), 38(0.91), 40(0.8), 42(0.64), 44(0.56), 47(0.83), 48(0.99), 51(0.65), 52(0.76), 54(0.8), 56(0.6), 58(0.68), 60(0.92), 62(0.74), 64(0.62), 66(0.83), 68(0.86), 70(0.75), 72(0.96), 74(0.62)
T1628: 1(0.52), 4(0.56), 5(0.94), 7(0.61), 10(0.64), 11(0.99), 14(0.59), 15(0.74), 17(0.95), 19(0.73), 21(0.83), 24(0.76), 25(0.77), 28(0.95), 29(0.62), 33(0.88), 34(0.93), 36(0.63), 38(0.67), 40(0.96), 42(0.63), 44(0.76), 46(0.88), 48(0.51), 50(0.67), 52(0.85), 54(0.72), 56(0.7), 58(0.7), 60(0.85), 62(0.84), 64(0.82), 66(0.53), 68(0.55), 71(0.89), 72(0.8), 74(0.99)
T1629: 1(0.72), 4(0.95), 5(0.76), 7(0.82), 9(0.62), 12(0.78), 14(0.83), 15(0.88), 17(0.86), 19(0.78), 21(0.82), 24(0.63), 25(0.83), 28(0.87), 29(0.96), 33(0.51), 34(0.72), 36(0.69), 38(0.66), 40(0.85), 42(0.71), 44(0.72), 46(0.78), 48(0.73), 50(0.96), 52(1.0), 54(0.58), 56(0.58), 58(0.62), 60(0.65), 62(0.78), 64(0.54), 66(0.54), 68(0.63), 71(0.8), 72(0.81), 74(0.57)
T1630: 1(0.58), 4(0.88), 5(0.86), 7(0.7), 9(0.64), 12(0.75), 14(0.75), 15(0.86), 17(0.71), 20(0.87), 21(0.63), 24(0.63), 25(0.58), 28(0.57), 29(0.5), 33(0.57), 34(0.95), 36(0.98), 38(0.96), 40(0.66), 42(0.6), 44(0.77), 47(0.8), 48(0.5), 50(0.71), 52(0.59), 54(0.6), 56(0.96), 58(0.91), 60(0.98), 62(0.52), 64(0.95), 66(0.87), 68(0.62), 70(0.62), 72(0.83), 74(0.58)
T1631: 1(0.56), 4(0.63), 5(0.71), 7(0.62), 9(0.88), 12(0.79), 14(0.92), 16(0.86), 17(0.76), 20(0.54), 21(0.78), 24(0.65), 25(0.64), 28(0.96), 29(0.56), 33(0.56), 34(0.81), 36(0.58), 38(0.66), 40(0.94), 42(0.86), 44(0.58), 47(0.92), 48(0.9), 50(0.94), 52(0.57), 54(0.71), 56(0.59), 58(0.77), 60(0.78), 62(0.86), 64(0.7), 66(0.66), 68(0.76), 70(0.83), 72(0.74), 74(0.84)
T1632: 1(0.7), 4(0.94), 5(0.58), 7(0.74), 9(0.9), 12(0.77), 14(1.0), 16(0.66), 17(0.96), 20(0.78), 21(0.71), 24(0.58), 25(0.64), 28(0.85), 29(0.91), 31(0.99), 34(0.84), 36(0.83), 38(0.57), 40(0.83), 42(0.95), 44(0.91), 47(0.6), 48(0.77), 50(0.86), 52(0.68), 54(0.56), 56(0.97), 58(0.8), 60(0.82), 62(0.72), 64(0.53), 66(0.91), 68(0.57), 70(0.56), 73(0.54), 74(0.92)
T1633: 1(0.65), 4(0.83), 5(0.83), 7(0.54), 9(0.56), 12(0.68), 14(0.55), 16(0.51), 17(0.76), 20(0.92), 21(0.99), 24(0.72), 25(0.74), 28(0.88), 29(0.87), 31(0.8), 34(0.91), 36(0.93), 38(0.63), 40(0.96), 42(0.71), 44(0.57), 47(0.53), 48(0.77), 50(0.52), 52(0.85), 54(0.54), 56(0.82), 58(0.96), 60(0.56), 62(0.92), 64(0.69), 66(0.98), 68(0.97), 70(0.8), 72(0.97), 74(0.54)
T1634: 1(0.82), 4(0.94), 5(0.84), 7(0.77), 9(0.53), 12(0.93), 14(0.64), 15(0.59), 17(0.5), 19(0.64), 21(0.97), 24(0.68), 25(0.67), 28(0.98), 29(0.75), 33(0.66), 34(0.54), 36(0.83), 39(0.76), 40(0.95), 42(0.68), 44(0.85), 46(0.89), 48(0.84), 51(0.62), 52(0.6), 54(0.72), 56(0.61), 58(0.66), 60(0.56), 62(0.65), 64(0.64), 66(0.81), 68(0.58), 71(0.71), 72(0.87), 74(0.84)
T1635: 1(0.57), 3(0.78), 5(0.65), 7(0.67), 9(0.9), 12(0.61), 14(0.69), 16(0.99), 18(0.64), 20(0.9), 21(0.53), 24(0.84), 25(0.63), 28(0.93), 29(0.7), 33(0.82), 34(0.93), 36(0.9), 38(0.52), 40(0.96), 42(0.74), 44(0.51), 47(0.67), 48(0.63), 50(0.69), 52(0.7), 54(0.55), 56(0.86), 58(0.8), 60(0.57), 62(0.64), 64(0.82), 66(0.56), 68(0.51), 70(0.56), 72(0.73), 74(0.59)
T1636: 1(0.96), 3(0.5), 5(0.74), 7(0.9), 9(0.76), 11(0.6), 14(0.63), 16(0.51), 18(0.97), 20(0.51), 21(0.85), 24(0.54), 25(0.93), 28(0.51), 29(0.54), 31(0.96), 34(0.97), 36(0.69), 38(0.82), 40(0.66), 42(0.66), 44(0.86), 47(0.58), 48(0.58), 50(0.9), 52(0.93), 54(0.8), 56(0.75), 58(0.86), 60(0.98), 62(0.7), 64(0.9), 66(0.68), 68(0.94), 70(0.75), 73(0.86), 74(0.65)
T1637: 1(0.72), 3(0.78), 5(1.0), 7(0.79), 10(0.52), 11(0.86), 14(0.64), 16(0.83), 18(0.69), 20(0.75), 21(0.99), 24(0.79), 25(0.84), 28(0.67), 29(0.73), 31(0.82), 34(0.84), 36(0.88), 38(0.7), 40(0.87), 42(0.63), 44(0.56), 46(0.71), 48(0.57), 50(0.86), 52(0.54), 54(0.56), 56(0.89), 58(0.85), 60(0.69), 62(0.98), 64(0.7), 66(0.54), 68(0.91), 71(0.83), 72(0.79), 74(0.58)
T1638: 1(0.63), 3(0.92), 5(0.96), 7(0.69), 10(0.72), 11(0.98), 14(0.53), 16(0.78), 18(0.56), 20(0.54), 21(0.67), 24(0.77), 25(0.6), 28(0.57), 29(0.7), 31(0.53), 34(0.56), 36(0.78), 38(0.92), 40(0.89), 42(0.5), 44(0.64), 47(0.76), 48(0.59), 50(0.57), 52(0.63), 54(0.89), 56(0.98), 58(0.52), 60(0.84), 62(0.77), 64(0.71), 66(0.9), 68(0.91), 70(0.94), 72(0.86), 74(0.73)
T1639: 1(0.94), 3(0.81), 5(0.69), 7(0.93), 10(0.8), 12(0.98), 14(1.0), 16(0.72), 18(0.69), 20(0.66), 21(0.89), 23(0.8), 25(0.77), 28(0.5), 29(0.98), 31(0.67), 34(0.57), 36(0.8), 38(0.54), 40(0.9), 42(0.91), 44(0.71), 46(0.83), 48(0.76), 51(0.97), 52(0.97), 54(0.67), 56(0.79), 58(0.82), 60(0.61), 62(0.88), 64(0.76), 66(0.74), 68(0.6), 71(0.81), 72(0.92), 74(0.56)
T1640: 1(1.0), 4(0.53), 5(0.68), 7(0.73), 10(0.62), 11(0.53), 14(0.78), 16(0.87), 18(0.78), 20(0.98), 21(0.5), 24(0.71), 25(0.69), 28(0.77), 29(0.93), 33(0.95), 34(0.88), 36(0.9), 38(0.86), 40(0.91), 42(0.71), 44(0.68), 46(0.83), 48(0.9), 51(0.56), 52(0.95), 54(0.73), 56(0.8), 58(0.69), 60(0.75), 62(0.73), 64(0.69), 66(0.8), 68(0.81), 71(0.85), 72(0.72), 74(0.79)
T1641: 1(0.65), 4(0.62), 5(0.54), 7(0.63), 9(0.92), 12(0.64), 14(0.63), 16(0.84), 18(0.87), 20(0.53), 21(0.98), 24(0.81), 25(0.85), 28(0.6), 29(0.86), 33(0.68), 34(0.76), 36(0.67), 38(0.99), 40(0.8), 42(0.66), 44(0.71), 46(0.9), 48(0.72), 51(0.81), 52(0.53), 54(0.89), 56(0.71), 58(0.59), 60(0.62), 62(0.87), 64(0.59), 66(0.71), 68(0.78), 70(0.65), 72(0.62), 74(0.96)
T1642: 1(0.75), 4(0.91), 5(0.94), 7(0.87), 9(0.71), 12(0.88), 14(0.53), 16(0.64), 18(0.52), 20(0.9), 21(0.86), 24(0.66), 25(0.8), 28(0.66), 29(0.54), 33(0.99), 34(0.94), 36(0.56), 38(0.91), 40(0.52), 42(0.58), 44(0.94), 46(0.91), 48(0.91), 50(0.59), 52(0.53), 54(0.54), 56(0.91), 58(0.92), 60(0.66), 62(0.88), 64(0.88), 66(0.51), 68(0.66), 70(0.77), 72(0.78), 74(0.74)
T1643: 1(0.99), 4(0.91), 5(0.59), 7(0.65), 9(0.54), 12(0.52), 14(0.98), 16(0.51), 18(0.98), 20(0.65), 21(0.83), 24(0.83), 25(0.63), 28(0.82), 29(0.66), 33(0.86), 34(0.94), 36(0.64), 38(0.79), 40(0.96), 42(0.76), 44(0.97), 46(0.9), 48(0.86), 50(0.99), 52(0.54), 54(0.79), 56(0.73), 58(0.61), 60(0.56), 62(0.78), 64(0.93), 66(0.93), 68(0.87), 71(0.55), 72(0.93), 74(0.82)
T1644: 1(0.92), 4(0.86), 5(0.93), 7(0.95), 9(0.7), 12(0.79), 14(0.66), 16(0.92), 18(0.84), 20(0.62), 21(0.96), 24(0.78), 25(0.98), 28(0.91), 29(0.91), 31(0.53), 34(0.62), 36(0.52), 38(0.67), 40(0.98), 42(0.87), 44(0.87), 46(0.61), 48(0.86), 50(0.99), 52(1.0), 54(0.99), 56(0.63), 58(0.81), 60(0.78), 62(0.72), 64(0.6), 66(0.53), 68(0.79), 70(0.68), 73(0.52), 74(0.61)
T1645: 1(0.51), 4(0.88), 5(0.5), 7(0.7), 9(0.64), 12(0.98), 14(0.71), 16(0.89), 18(0.54), 20(0.77), 21(0.55), 24(0.58), 25(0.67), 28(0.97), 29(0.95), 31(0.5), 34(0.81), 36(0.58), 38(0.7), 40(0.79), 42(0.96), 44(0.55), 46(0.93), 48(0.6), 50(0.82), 52(0.96), 54(0.92), 56(0.53), 58(0.6), 60(0.65), 62(0.7), 64(0.94), 66(0.6), 68(0.53), 71(0.65), 73(0.72), 74(0.91)
T1646: 1(0.61), 4(1.0), 5(0.69), 7(0.53), 9(0.66), 12(0.7), 14(0.7), 16(0.87), 18(0.68), 20(0.96), 21(0.82), 24(0.83), 25(0.82), 28(0.63), 29(0.54), 31(0.64), 34(0.8), 36(0.86), 38(0.73), 40(0.6), 42(0.94), 44(0.54), 46(0.73), 48(0.53), 50(0.95), 52(0.92), 54(0.88), 56(0.81), 58(0.83), 60(0.84), 62(0.57), 64(0.61), 66(0.85), 68(0.74), 70(0.85), 72(0.93), 74(0.89)
T1647: 1(0.64), 4(0.7), 5(0.88), 7(0.57), 9(0.62), 12(0.92), 14(0.86), 16(0.88), 18(0.92), 20(1.0), 21(0.61), 24(0.73), 25(0.96), 28(0.57), 29(0.61), 31(0.71), 34(0.55), 36(0.82), 38(0.94), 40(0.91), 42(0.84), 44(0.7), 46(0.7), 48(0.83), 50(0.98), 52(0.73), 54(0.68), 56(0.77), 58(0.81), 60(0.78), 62(0.77), 64(0.87), 66(0.98), 68(0.92), 71(0.5), 72(0.83), 74(0.57)
T1648: 1(0.69), 3(0.8), 5(0.87), 7(0.9), 10(0.63), 11(0.89), 14(0.52), 16(0.82), 18(0.8), 20(0.75), 21(0.57), 24(0.65), 25(0.59), 28(0.65), 29(0.76), 31(0.97), 34(0.99), 36(0.5), 39(0.71), 40(0.64), 42(0.55), 44(0.65), 46(0.55), 48(0.93), 51(0.75), 52(0.9), 54(0.72), 56(0.61), 58(0.6), 60(0.92), 62(0.83), 64(0.55), 66(0.61), 68(0.97), 71(0.92), 72(0.77), 74(0.72)
T1649: 1(0.81), 3(0.57), 5(0.69), 7(0.85), 9(0.72), 12(0.76), 14(0.55), 16(0.88), 18(0.86), 20(0.95), 21(0.73), 23(0.95), 25(0.59), 28(0.74), 29(0.53), 31(0.94), 34(0.7), 36(0.95), 39(0.81), 40(0.54), 42(0.53), 44(0.99), 46(0.66), 48(0.91), 51(0.77), 52(0.92), 54(0.65), 56(0.58), 58(0.58), 60(0.57), 62(0.6), 64(0.64), 66(0.62), 68(0.58), 71(0.71), 72(0.62), 74(0.62)
