T1: 1(0.73), 3(0.95), 5(0.75), 7(0.81), 9(0.82), 11(0.83), 13(0.93), 15(0.96), 17(0.88), 19(0.74), 21(0.80), 23(0.76), 25(0.82), 27(0.80), 29(0.80), 31(0.70), 34(0.81), 36(0.76), 38(0.75), 40(0.95), 42(0.98), 44(0.85), 46(0.85), 48(0.85), 50(0.80), 52(0.81), 54(0.78), 56(0.90), 58(0.72), 60(0.96), 62(0.93), 64(0.91), 66(0.83), 68(0.77), 70(0.75), 72(0.82), 74(0.88)
T317: 1(0.78), 3(0.82), 5(0.94), 7(0.90), 9(0.70), 12(0.95), 14(0.84), 16(0.96), 17(0.77), 20(0.78), 21(0.89), 23(0.88), 25(0.91), 27(0.83), 29(0.99), 31(0.76), 34(0.74), 36(0.96), 38(0.81), 40(0.88), 42(0.78), 44(0.79), 47(0.84), 48(0.79), 50(0.85), 52(0.97), 55(0.96), 56(0.91), 58(0.89), 60(0.78), 62(0.94), 64(0.99), 66(0.88), 68(0.87), 71(0.70), 72(0.80), 74(0.99)
T318: 1(0.85), 3(0.98), 5(0.77), 7(0.71), 9(0.87), 11(0.74), 14(0.74), 15(0.73), 17(0.95), 19(0.95), 21(0.78), 23(0.97), 25(0.88), 27(0.93), 29(0.95), 31(0.98), 34(0.87), 36(0.76), 38(0.89), 40(0.82), 42(0.77), 44(1.00), 46(0.82), 48(0.81), 51(0.90), 52(0.84), 55(0.98), 56(0.94), 58(0.89), 60(0.78), 62(0.95), 64(0.78), 66(0.71), 68(0.87), 70(0.76), 72(0.86), 74(0.73)
T319: 1(0.79), 3(0.76), 6(0.88), 7(1.00), 9(0.94), 11(0.99), 14(0.83), 15(0.99), 17(0.82), 19(0.81), 21(0.96), 23(0.88), 25(0.82), 27(0.89), 29(0.84), 31(0.72), 34(0.90), 36(0.74), 38(0.84), 40(1.00), 42(0.74), 44(0.92), 46(0.93), 48(0.91), 51(0.85), 52(0.81), 55(0.83), 56(0.78), 58(0.84), 60(0.73), 62(0.87), 64(0.99), 66(0.91), 68(0.81), 71(0.93), 72(0.74), 74(0.88)
T320: 1(0.96), 3(0.75), 5(0.71), 8(0.93), 9(0.93), 11(0.89), 14(0.94), 16(0.74), 17(0.80), 19(0.83), 21(0.75), 23(0.86), 25(0.80), 27(0.83), 29(0.92), 31(0.85), 34(0.89), 36(0.82), 38(0.74), 40(0.72), 42(0.94), 44(0.74), 46(0.92), 48(0.84), 51(0.96), 52(0.84), 55(0.85), 56(0.80), 58(0.86), 60(0.83), 62(0.83), 64(0.77), 66(0.76), 68(0.98), 71(0.95), 72(0.78), 74(0.85)
T321: 1(0.93), 3(0.78), 5(0.89), 7(1.00), 9(0.87), 12(0.71), 14(0.76), 16(0.75), 17(0.80), 19(0.99), 21(0.73), 23(0.80), 25(0.83), 27(0.94), 29(0.94), 31(0.91), 34(0.75), 36(0.72), 38(0.97), 40(0.95), 42(0.71), 44(0.96), 46(0.95), 48(0.77), 51(0.86), 52(0.97), 55(0.98), 56(0.71), 58(0.95), 60(0.91), 62(0.89), 64(0.71), 66(0.99), 68(0.71), 70(0.73), 72(0.71), 74(0.86)
T322: 1(0.91), 3(0.92), 5(0.73), 7(0.73), 9(0.83), 11(0.76), 14(0.85), 15(0.85), 17(0.71), 20(0.90), 21(0.84), 23(0.82), 25(0.85), 27(0.88), 29(0.92), 31(0.92), 34(0.95), 36(0.73), 38(0.90), 40(0.83), 42(0.84), 44(0.78), 47(0.72), 48(0.90), 51(0.85), 52(0.83), 55(0.75), 56(0.76), 58(0.95), 60(0.95), 62(0.74), 64(0.94), 66(0.87), 68(0.79), 70(0.72), 72(0.88), 74(0.90)
T323: 1(1.00), 3(0.87), 5(0.86), 7(0.80), 9(0.81), 12(0.74), 14(0.78), 16(0.86), 17(0.76), 20(0.73), 21(0.70), 23(0.70), 25(0.71), 27(0.94), 29(0.79), 31(0.85), 34(0.84), 36(0.83), 38(0.75), 40(0.79), 42(0.73), 44(0.97), 47(0.80), 48(0.74), 51(0.90), 52(0.93), 55(0.77), 56(0.89), 58(0.72), 60(0.87), 62(0.84), 64(0.88), 66(0.74), 68(0.89), 70(0.79), 72(0.76), 74(0.85)
T324: 1(0.95), 3(0.85), 5(0.76), 7(0.91), 9(0.95), 11(0.99), 14(1.00), 15(0.88), 17(0.85), 19(0.94), 21(0.74), 23(1.00), 25(0.95), 27(0.97), 29(0.81), 31(0.96), 34(0.75), 36(0.94), 39(0.73), 40(0.90), 42(0.96), 44(0.93), 46(0.72), 48(0.81), 50(0.74), 52(0.90), 55(0.76), 56(0.80), 58(0.93), 60(0.82), 62(0.96), 64(0.88), 66(0.72), 68(0.93), 70(0.79), 72(0.72), 74(0.95)
T325: 1(0.82), 3(0.72), 5(0.77), 7(0.84), 9(0.72), 11(0.82), 14(0.81), 15(0.95), 17(0.74), 19(0.76), 21(0.78), 23(0.72), 25(0.90), 27(0.74), 29(0.96), 31(0.93), 34(0.85), 36(0.91), 39(0.79), 40(0.74), 42(0.94), 44(0.84), 46(0.83), 48(0.87), 50(0.74), 52(0.98), 55(0.96), 56(0.96), 58(0.71), 60(0.93), 62(0.86), 64(0.79), 66(0.95), 68(0.98), 71(0.76), 72(0.91), 74(0.97)
T326: 1(0.74), 3(0.78), 5(0.90), 7(0.75), 9(0.99), 12(0.91), 14(0.78), 15(0.96), 17(0.87), 19(0.87), 21(0.80), 23(0.70), 25(0.74), 27(0.76), 29(0.91), 31(0.77), 34(0.93), 36(0.88), 39(0.94), 40(0.73), 42(0.87), 44(0.89), 46(0.83), 48(0.96), 50(0.93), 52(0.88), 55(1.00), 56(1.00), 58(0.97), 60(0.90), 62(0.99), 64(0.77), 66(0.84), 68(0.98), 71(0.99), 72(0.92), 74(0.73)
T327: 1(0.81), 3(0.87), 5(0.90), 7(0.87), 10(0.92), 12(0.83), 14(0.95), 15(1.00), 17(0.89), 19(0.97), 21(0.95), 23(0.74), 25(0.91), 27(0.86), 29(0.90), 31(0.83), 34(0.89), 36(0.92), 39(0.99), 40(0.85), 42(0.92), 44(0.89), 46(0.83), 48(0.75), 50(0.84), 52(0.95), 55(0.91), 56(0.83), 58(0.87), 60(0.98), 62(0.93), 64(0.77), 66(0.78), 68(1.00), 70(0.86), 72(0.77), 74(0.86)
T328: 1(0.92), 3(0.79), 5(0.75), 7(0.90), 9(0.78), 12(0.87), 14(0.77), 16(0.73), 17(0.76), 19(0.94), 21(0.91), 23(0.71), 25(0.94), 27(0.78), 29(0.88), 31(0.74), 34(0.96), 36(0.85), 39(0.80), 40(0.90), 42(0.83), 44(0.93), 46(0.92), 48(0.83), 50(0.92), 52(0.80), 55(0.82), 56(0.88), 58(0.94), 60(0.72), 62(0.73), 64(0.80), 66(0.82), 68(0.87), 70(0.91), 72(0.74), 74(0.86)
T329: 1(0.97), 3(0.73), 5(0.89), 7(0.79), 9(0.76), 12(0.79), 14(0.72), 16(0.92), 17(0.95), 19(0.91), 21(0.90), 23(0.81), 25(0.85), 27(0.81), 29(0.98), 31(0.80), 34(0.95), 36(0.96), 39(0.92), 40(0.73), 42(0.98), 44(0.78), 46(0.86), 48(0.96), 50(0.77), 52(0.95), 55(0.96), 56(0.87), 58(0.97), 60(0.90), 62(0.87), 64(0.85), 66(0.94), 68(0.89), 71(0.91), 72(0.70), 74(0.93)
T330: 1(0.82), 3(0.90), 5(0.82), 7(0.83), 9(0.75), 11(0.74), 14(1.00), 15(0.72), 17(0.87), 19(0.84), 21(0.83), 23(0.90), 25(0.90), 27(1.00), 29(0.75), 31(0.97), 34(0.97), 36(0.96), 39(0.86), 40(0.98), 42(0.73), 44(0.85), 46(0.87), 48(0.76), 50(0.84), 52(0.94), 55(0.82), 56(0.85), 58(0.96), 60(0.96), 62(0.79), 64(0.70), 66(0.75), 69(0.86), 71(0.78), 72(0.72), 74(0.76)
T331: 1(0.99), 3(0.84), 5(0.94), 7(0.96), 9(0.99), 11(0.87), 14(0.73), 15(0.89), 17(0.91), 20(0.91), 21(0.75), 23(0.90), 25(0.77), 27(0.78), 29(0.93), 31(0.90), 34(0.71), 36(0.90), 39(0.95), 40(0.72), 42(0.84), 44(0.77), 47(0.76), 48(0.95), 50(0.87), 52(0.71), 55(1.00), 56(0.95), 58(0.83), 60(0.76), 62(0.97), 64(0.74), 66(0.95), 68(0.74), 70(0.79), 72(0.88), 74(0.98)
T332: 1(0.96), 3(0.72), 5(0.99), 7(0.74), 9(0.83), 11(0.77), 14(0.79), 16(0.85), 17(0.71), 20(0.99), 21(0.99), 23(0.86), 25(0.73), 27(0.89), 29(0.99), 31(0.75), 34(0.87), 36(0.77), 39(0.83), 40(0.97), 42(0.89), 44(0.85), 47(0.70), 48(0.84), 50(0.71), 52(0.81), 55(0.97), 56(0.89), 58(0.72), 60(0.77), 62(0.74), 64(0.80), 66(0.95), 68(0.89), 70(0.90), 72(0.82), 74(0.87)
T333: 1(0.82), 3(0.78), 5(0.82), 7(0.87), 9(0.93), 11(0.93), 14(0.82), 15(0.73), 17(0.76), 19(0.71), 21(0.80), 23(0.84), 25(0.82), 27(0.94), 29(0.70), 31(0.91), 34(0.77), 36(0.72), 39(0.71), 40(0.95), 42(0.86), 44(1.00), 46(1.00), 48(0.82), 51(0.94), 52(0.71), 55(0.79), 56(0.77), 58(0.89), 60(0.97), 62(0.93), 64(0.96), 66(0.80), 68(0.87), 70(0.77), 72(0.72), 74(0.94)
T334: 1(0.99), 3(1.00), 5(0.85), 7(0.84), 9(0.87), 11(0.74), 14(0.94), 15(0.83), 17(0.92), 19(0.87), 21(0.73), 23(0.87), 25(0.99), 27(0.95), 29(0.96), 31(0.94), 34(0.79), 36(0.87), 39(0.93), 40(0.81), 42(0.81), 44(0.77), 46(0.86), 48(0.75), 51(0.84), 52(0.82), 55(0.89), 56(0.86), 58(0.83), 60(0.76), 62(0.73), 64(0.98), 66(0.95), 68(1.00), 71(0.79), 72(0.83), 74(0.72)
T335: 1(0.84), 3(0.86), 5(0.96), 7(0.82), 9(0.78), 12(0.75), 14(0.80), 15(0.80), 17(0.97), 19(0.89), 21(0.93), 23(0.88), 25(0.96), 27(0.78), 29(0.79), 31(0.80), 34(0.72), 36(0.84), 39(0.92), 40(0.97), 42(0.98), 44(0.74), 46(0.89), 48(0.90), 51(0.91), 52(0.95), 55(0.76), 56(0.85), 58(0.87), 60(0.90), 62(0.78), 64(0.88), 66(0.92), 68(0.89), 71(0.74), 72(0.81), 74(0.73)
T336: 1(0.77), 3(0.98), 5(0.90), 7(0.78), 10(1.00), 12(0.79), 14(0.99), 15(0.83), 17(0.83), 19(0.81), 21(0.71), 23(0.97), 25(0.98), 27(0.80), 29(0.81), 31(0.95), 34(0.74), 36(0.82), 39(0.94), 40(0.96), 42(0.79), 44(0.76), 46(0.84), 48(0.79), 51(0.72), 52(0.88), 55(0.72), 56(0.75), 58(0.99), 60(0.97), 62(0.94), 64(0.78), 66(0.80), 68(0.90), 71(0.95), 72(0.91), 74(0.95)
T337: 1(0.99), 3(0.90), 5(0.95), 7(0.86), 9(0.98), 11(0.87), 14(0.91), 15(0.71), 17(0.97), 19(0.74), 21(0.85), 23(0.70), 25(0.79), 27(0.70), 29(0.85), 31(0.74), 34(0.83), 36(0.92), 39(0.94), 40(0.94), 42(0.98), 44(0.75), 46(0.70), 48(0.83), 51(0.88), 52(0.98), 55(0.95), 56(0.79), 58(0.80), 60(0.96), 62(0.88), 64(0.94), 66(0.92), 69(0.74), 71(0.84), 72(0.79), 74(0.91)
T338: 1(0.81), 3(0.85), 5(0.84), 7(0.71), 9(0.75), 12(0.72), 14(0.87), 15(0.77), 17(0.92), 19(0.77), 21(0.86), 23(0.75), 25(0.93), 27(0.73), 29(0.87), 31(0.88), 34(0.98), 36(0.87), 39(0.89), 40(0.76), 42(0.98), 44(0.81), 46(0.97), 48(0.75), 51(0.99), 52(0.81), 55(0.81), 56(0.90), 58(0.81), 60(0.74), 62(0.85), 64(0.88), 66(0.93), 69(0.84), 71(0.71), 72(0.97), 74(0.99)
T339: 1(0.71), 3(0.90), 5(0.85), 7(1.00), 9(0.94), 11(0.80), 14(0.83), 15(0.75), 17(0.94), 20(0.86), 21(0.94), 23(0.83), 25(0.90), 27(0.81), 29(0.82), 31(0.91), 34(0.97), 36(0.82), 39(0.95), 40(0.95), 42(0.93), 44(0.73), 47(0.79), 48(0.79), 51(0.77), 52(0.74), 55(0.71), 56(0.97), 58(0.94), 60(0.87), 62(0.86), 64(0.92), 66(0.86), 68(0.91), 71(0.70), 72(0.93), 74(0.91)
T340: 1(0.81), 3(0.79), 5(0.71), 7(0.73), 9(0.84), 12(0.90), 14(0.95), 16(0.81), 18(0.93), 20(0.96), 21(0.76), 23(0.75), 25(0.80), 27(0.95), 29(0.73), 31(0.93), 34(0.73), 36(0.96), 38(0.93), 40(0.96), 42(0.93), 44(0.75), 46(0.88), 48(0.75), 50(0.71), 52(0.75), 55(0.88), 56(0.85), 58(0.87), 60(0.92), 62(0.85), 64(0.74), 66(0.80), 68(0.78), 70(0.73), 72(0.76), 74(0.72)
T341: 1(0.72), 3(0.81), 5(0.97), 7(0.83), 9(0.96), 12(0.70), 14(0.72), 16(0.84), 18(0.73), 20(0.74), 21(0.85), 23(0.70), 25(0.96), 27(0.85), 29(0.83), 31(0.72), 34(0.92), 36(0.99), 38(0.71), 40(0.94), 42(0.99), 44(0.82), 46(0.84), 48(0.91), 50(0.86), 52(0.77), 55(1.00), 56(0.83), 58(0.77), 60(0.99), 62(0.98), 64(0.95), 66(0.80), 68(0.70), 71(0.93), 72(0.99), 74(0.99)
T342: 1(0.97), 3(0.80), 5(0.71), 7(0.95), 9(0.71), 12(0.84), 14(0.92), 16(0.77), 18(0.83), 20(0.85), 21(0.86), 23(0.95), 25(0.93), 27(0.97), 29(0.81), 31(0.71), 34(0.82), 36(0.75), 38(0.85), 40(1.00), 42(0.85), 44(0.79), 47(0.93), 48(0.78), 50(0.78), 52(0.93), 55(0.97), 56(0.74), 58(0.73), 60(0.77), 62(0.87), 64(0.78), 66(0.99), 68(0.87), 70(0.78), 72(0.90), 74(0.97)
T343: 1(0.75), 3(0.71), 5(0.74), 7(0.76), 9(0.89), 12(0.92), 14(0.73), 16(0.80), 18(0.92), 20(0.99), 21(0.84), 23(0.86), 25(0.94), 27(1.00), 29(0.95), 31(0.96), 34(0.95), 36(0.85), 38(0.72), 40(0.87), 42(0.93), 44(0.77), 46(0.99), 48(0.77), 51(0.71), 52(0.75), 55(0.87), 56(0.93), 58(0.81), 60(0.74), 62(0.98), 64(0.82), 66(0.89), 68(0.96), 70(0.86), 72(0.99), 74(0.95)
T344: 1(0.83), 3(0.79), 5(0.89), 7(0.97), 9(0.98), 12(0.98), 14(0.90), 16(0.77), 18(0.89), 20(0.75), 21(0.85), 23(1.00), 25(0.95), 27(0.79), 29(0.76), 31(0.76), 34(0.74), 36(0.89), 39(0.87), 40(0.76), 42(0.86), 44(0.73), 46(0.95), 48(0.96), 50(0.83), 52(0.79), 55(0.85), 56(0.88), 58(0.75), 60(0.97), 62(0.86), 64(0.72), 66(0.79), 68(0.90), 71(0.89), 72(0.78), 74(0.96)
T345: 1(0.82), 3(0.76), 5(0.92), 7(0.85), 9(0.84), 11(0.74), 13(0.96), 15(0.87), 17(0.87), 19(0.82), 21(0.73), 23(0.94), 25(0.99), 28(0.76), 29(0.81), 31(0.95), 34(0.76), 36(0.84), 38(0.80), 40(0.95), 42(0.90), 44(0.83), 46(0.90), 48(0.71), 50(0.95), 52(0.84), 54(0.94), 56(0.89), 58(0.75), 60(0.94), 62(0.81), 64(0.81), 66(0.97), 68(0.71), 70(0.92), 72(0.88), 74(0.79)
T346: 1(0.74), 3(0.89), 5(0.85), 7(0.76), 9(0.96), 12(0.72), 13(0.83), 15(0.99), 17(1.00), 19(0.75), 21(0.75), 23(0.84), 25(0.88), 28(0.78), 29(0.86), 31(0.76), 34(0.71), 36(0.93), 38(0.94), 40(0.85), 42(0.98), 44(0.82), 46(0.84), 48(0.82), 50(0.99), 52(1.00), 54(0.91), 56(0.96), 58(0.85), 60(0.94), 62(0.86), 64(0.93), 66(0.98), 68(0.78), 70(0.92), 72(0.88), 74(0.77)
T347: 1(0.89), 3(0.77), 5(0.70), 7(0.80), 9(0.95), 12(0.94), 13(0.71), 16(0.76), 17(0.88), 19(0.73), 21(0.91), 23(0.79), 25(0.71), 28(0.93), 29(0.92), 31(0.74), 34(0.73), 36(0.97), 38(0.75), 40(0.84), 42(0.72), 44(0.71), 46(0.87), 48(0.99), 50(0.77), 52(0.82), 54(0.94), 56(0.91), 58(0.77), 60(0.82), 62(0.95), 64(0.77), 66(0.83), 68(0.99), 70(0.83), 72(0.84), 74(0.76)
T348: 1(0.76), 3(0.75), 5(0.87), 7(0.70), 9(0.75), 11(0.77), 13(0.99), 15(0.89), 17(0.94), 20(0.97), 21(0.91), 23(0.90), 25(0.87), 28(0.72), 29(0.81), 31(0.89), 34(0.92), 36(0.93), 38(0.76), 40(0.82), 42(0.96), 44(0.72), 47(0.72), 48(0.93), 50(0.85), 52(0.78), 54(0.88), 56(1.00), 58(0.91), 60(0.81), 62(0.99), 64(0.96), 66(0.85), 68(0.75), 70(0.77), 72(0.94), 74(0.99)
T349: 1(0.71), 3(0.91), 5(0.73), 7(0.86), 9(0.91), 12(0.92), 13(0.73), 15(0.88), 17(0.83), 20(0.73), 21(0.78), 23(0.70), 25(0.90), 28(0.82), 29(0.91), 31(0.87), 34(0.93), 36(0.87), 38(0.73), 40(0.70), 42(0.89), 44(0.92), 47(0.89), 48(0.88), 50(0.89), 52(0.81), 54(0.90), 56(0.81), 58(0.76), 60(0.95), 62(0.93), 64(0.93), 66(0.82), 68(0.82), 70(0.96), 72(0.87), 74(0.75)
T350: 1(0.85), 3(0.92), 5(0.85), 7(0.85), 9(0.80), 11(0.83), 13(0.89), 15(0.75), 17(0.77), 19(0.89), 21(0.92), 23(0.72), 25(0.93), 28(0.76), 29(0.85), 31(0.77), 34(0.76), 36(0.86), 38(0.75), 40(0.76), 42(0.76), 44(0.78), 46(0.94), 48(0.99), 51(0.81), 52(0.84), 54(0.85), 56(0.80), 58(0.84), 60(0.97), 62(0.98), 64(0.80), 66(0.76), 68(0.85), 70(0.89), 72(0.93), 74(0.99)
T351: 1(0.85), 3(0.76), 5(0.77), 7(0.77), 9(0.75), 12(0.73), 13(0.81), 15(0.99), 17(0.86), 19(0.85), 21(0.88), 23(0.93), 25(0.76), 28(0.91), 29(0.88), 31(0.72), 34(0.76), 36(0.85), 38(0.97), 40(0.93), 42(0.88), 44(0.97), 46(0.97), 48(0.97), 51(0.92), 52(0.71), 54(0.88), 56(0.98), 58(0.82), 60(0.92), 62(0.93), 64(0.84), 66(0.90), 68(0.79), 70(0.89), 72(0.79), 74(0.77)
T352: 1(0.99), 3(0.74), 5(0.75), 7(0.81), 9(0.92), 11(0.72), 13(0.87), 15(0.72), 17(0.72), 19(0.94), 21(0.76), 23(0.97), 25(0.76), 28(0.78), 29(0.85), 31(0.95), 34(0.90), 36(0.77), 38(1.00), 40(0.93), 42(0.86), 44(0.91), 46(0.74), 48(0.80), 51(0.90), 52(0.98), 54(0.86), 56(0.80), 58(0.79), 60(0.96), 63(0.94), 64(0.89), 66(0.87), 68(0.98), 70(0.76), 72(0.96), 74(0.98)
T353: 1(0.96), 3(0.82), 5(0.83), 7(0.83), 9(0.76), 12(0.77), 13(0.80), 16(0.84), 17(0.76), 19(0.90), 21(0.90), 23(0.73), 25(0.87), 28(0.96), 29(0.93), 31(0.92), 34(0.70), 36(0.99), 38(0.71), 40(0.87), 42(0.91), 44(0.95), 46(0.87), 48(0.99), 51(0.81), 52(0.80), 54(0.75), 56(0.95), 58(0.84), 60(0.71), 62(0.97), 64(0.86), 66(0.82), 68(0.87), 70(0.90), 72(0.90), 74(0.97)
T354: 1(0.98), 3(0.85), 5(0.91), 7(0.94), 9(0.74), 11(0.89), 13(0.89), 15(0.87), 17(0.93), 20(0.83), 21(0.72), 23(0.88), 25(0.78), 28(0.84), 29(0.71), 31(0.71), 34(0.75), 36(0.71), 38(0.95), 40(0.70), 42(0.84), 44(0.94), 47(0.73), 48(0.80), 51(0.83), 52(0.97), 54(0.75), 56(0.93), 58(0.90), 60(0.84), 62(0.88), 64(0.80), 66(0.89), 68(0.83), 70(0.78), 72(0.71), 74(0.76)
T355: 1(0.98), 3(0.71), 5(0.71), 7(0.72), 9(0.88), 12(0.95), 13(0.74), 15(0.86), 17(0.78), 20(0.96), 21(0.98), 23(0.91), 25(1.00), 28(0.78), 29(0.90), 31(0.71), 34(0.85), 36(0.80), 38(0.84), 40(0.71), 42(0.97), 44(0.89), 47(0.81), 48(0.96), 51(0.87), 52(0.95), 54(0.99), 56(0.85), 58(0.82), 60(0.70), 62(0.78), 64(0.71), 66(0.98), 68(0.87), 70(0.90), 72(0.71), 74(0.82)
T356: 1(0.80), 3(0.90), 5(0.75), 7(0.88), 9(0.92), 11(0.87), 13(0.88), 16(0.87), 17(0.78), 20(0.79), 21(0.75), 23(0.94), 25(0.82), 28(0.79), 29(0.74), 31(1.00), 34(1.00), 36(0.75), 38(0.77), 40(0.92), 42(0.91), 44(0.80), 47(0.81), 48(0.79), 51(0.70), 52(0.86), 54(0.99), 56(0.76), 58(0.84), 60(0.75), 62(0.77), 64(0.93), 66(0.72), 68(0.94), 70(0.73), 72(0.70), 74(0.80)
T357: 1(0.79), 3(0.95), 5(0.81), 7(0.76), 9(0.71), 11(0.81), 13(0.74), 15(0.97), 17(0.99), 19(0.84), 21(0.96), 24(0.72), 25(0.92), 28(0.85), 29(0.92), 31(0.78), 34(0.83), 36(0.92), 38(0.81), 40(0.84), 42(0.92), 44(0.86), 46(0.93), 48(0.93), 50(0.89), 52(0.73), 54(0.73), 56(0.79), 58(0.70), 60(0.87), 62(0.97), 64(0.88), 66(0.71), 68(0.81), 70(0.76), 72(0.98), 74(0.93)
T358: 1(0.96), 3(0.71), 5(0.95), 7(0.91), 9(0.86), 12(0.91), 13(0.72), 15(0.95), 17(0.98), 19(0.98), 21(0.71), 24(0.74), 25(0.92), 28(0.73), 29(0.99), 31(0.80), 34(0.71), 36(0.86), 38(0.78), 40(0.75), 42(0.86), 44(0.83), 46(0.96), 48(0.79), 50(0.75), 52(1.00), 54(0.81), 56(0.71), 58(0.77), 60(0.79), 62(0.75), 64(0.89), 66(0.76), 68(0.92), 70(0.94), 72(0.88), 74(0.91)
T359: 1(0.79), 3(0.82), 5(0.77), 7(0.85), 10(0.93), 12(0.82), 13(0.71), 15(0.94), 17(0.82), 19(0.71), 21(1.00), 24(0.78), 25(0.72), 28(0.92), 29(0.90), 31(0.73), 34(0.84), 36(0.75), 38(0.73), 40(0.72), 42(0.99), 44(0.74), 46(0.95), 48(0.84), 50(0.81), 52(0.72), 54(0.74), 56(0.74), 58(0.99), 60(0.82), 62(0.91), 64(0.77), 66(0.85), 68(0.70), 70(0.89), 72(0.78), 74(0.95)
T360: 1(0.91), 3(0.85), 5(0.82), 7(0.72), 9(0.89), 11(0.95), 13(0.83), 16(0.82), 17(0.85), 19(1.00), 21(0.75), 24(0.77), 25(0.83), 28(0.84), 29(0.91), 31(0.91), 34(0.75), 36(0.76), 38(0.87), 40(0.83), 42(0.72), 44(0.81), 46(0.93), 48(0.77), 50(0.96), 52(0.70), 54(0.93), 56(0.90), 58(0.88), 60(0.98), 62(0.76), 64(0.93), 66(0.83), 68(0.71), 70(0.92), 72(0.83), 74(0.83)
T361: 1(0.90), 3(0.87), 5(0.82), 7(0.73), 9(0.78), 12(0.83), 13(0.92), 16(0.79), 17(0.81), 19(0.84), 21(0.81), 24(0.93), 25(0.96), 28(0.96), 29(0.83), 31(0.99), 34(0.77), 36(0.93), 38(0.96), 40(0.95), 42(0.75), 44(0.94), 46(0.92), 48(0.83), 50(0.94), 52(0.98), 54(0.97), 56(0.88), 58(0.87), 60(0.77), 62(0.80), 64(0.93), 66(0.86), 68(0.93), 70(0.75), 72(0.83), 74(0.86)
T362: 1(0.93), 3(0.99), 5(0.88), 7(0.79), 9(0.96), 11(0.73), 13(0.95), 15(0.96), 17(0.91), 20(0.80), 21(0.78), 24(0.80), 25(0.75), 28(0.96), 29(0.89), 31(0.73), 34(0.93), 36(0.73), 38(0.74), 40(0.82), 42(0.70), 44(0.95), 47(0.84), 48(0.87), 50(0.94), 52(0.76), 54(0.76), 56(0.88), 58(0.73), 60(0.92), 62(0.93), 64(0.87), 66(0.76), 68(0.77), 70(0.80), 72(0.79), 74(0.88)
T363: 1(0.89), 3(0.92), 5(0.90), 7(0.70), 9(0.83), 12(0.96), 13(0.99), 15(0.73), 17(0.88), 20(0.86), 21(0.98), 24(0.73), 25(0.77), 28(0.98), 29(0.80), 31(0.80), 34(0.79), 36(0.84), 38(0.94), 40(0.89), 42(0.90), 44(0.79), 47(0.76), 48(0.88), 50(0.71), 52(0.86), 54(0.70), 56(0.74), 58(0.85), 60(0.70), 62(0.98), 64(0.80), 66(0.83), 68(0.78), 70(0.79), 72(0.77), 74(0.70)
T364: 1(0.91), 3(0.73), 5(0.99), 7(0.96), 10(0.82), 12(0.81), 13(0.88), 15(0.73), 17(0.70), 20(1.00), 21(0.94), 24(0.77), 25(0.83), 28(0.96), 29(0.76), 31(1.00), 34(0.86), 36(0.74), 38(0.80), 40(0.76), 42(0.94), 44(0.90), 47(0.97), 48(0.78), 50(0.75), 52(0.93), 54(0.84), 56(0.97), 58(0.73), 60(0.92), 62(0.79), 64(0.99), 66(0.71), 68(0.99), 70(0.93), 72(0.82), 74(0.90)
T365: 1(0.71), 3(0.72), 5(0.76), 7(0.75), 9(0.72), 11(0.77), 13(0.82), 15(0.99), 17(0.85), 19(0.78), 21(0.77), 24(0.85), 25(0.79), 28(0.74), 29(0.94), 31(0.87), 34(0.74), 36(0.87), 38(0.83), 40(0.74), 42(0.70), 44(0.72), 46(0.99), 48(0.77), 51(0.85), 52(0.72), 54(0.99), 56(0.92), 58(0.94), 60(0.91), 62(0.77), 64(0.79), 66(0.77), 68(0.78), 70(0.84), 72(0.94), 74(0.76)
T366: 1(0.85), 3(0.95), 5(0.76), 7(0.88), 9(0.86), 11(0.80), 13(0.84), 15(0.82), 17(0.73), 19(0.97), 21(0.90), 24(0.92), 25(0.95), 28(0.92), 29(0.72), 31(0.80), 34(0.76), 36(0.93), 38(0.97), 40(0.92), 42(0.92), 44(0.94), 46(0.96), 48(0.89), 51(0.73), 52(0.91), 54(0.78), 56(0.70), 58(0.71), 60(0.98), 63(0.96), 64(0.75), 66(0.72), 68(0.95), 70(0.90), 72(0.70), 74(0.80)
T367: 1(0.86), 3(0.99), 5(0.75), 7(0.92), 9(0.89), 12(0.87), 13(0.85), 16(0.85), 17(0.99), 19(0.77), 21(0.72), 24(0.87), 25(0.95), 28(0.86), 29(0.77), 31(0.96), 34(0.95), 36(0.84), 38(0.88), 40(0.82), 42(0.83), 44(0.75), 46(0.77), 48(0.88), 51(0.70), 52(0.88), 54(0.98), 56(0.86), 58(0.73), 60(0.86), 62(0.72), 64(0.82), 66(1.00), 68(0.98), 70(0.86), 72(0.72), 74(0.91)
T368: 1(0.70), 3(0.87), 5(0.92), 7(0.70), 9(0.87), 11(0.86), 13(0.76), 15(0.73), 17(0.73), 20(0.97), 21(0.81), 24(0.95), 25(0.93), 28(0.83), 29(0.89), 31(0.95), 34(0.72), 36(0.76), 38(0.81), 40(0.89), 42(0.95), 44(0.80), 47(0.90), 48(0.73), 51(0.71), 52(0.99), 54(0.79), 56(0.97), 58(0.91), 60(0.79), 62(0.79), 64(0.92), 66(0.99), 68(0.93), 70(0.71), 72(0.88), 74(0.82)
